product_title,description,price,seller_id,image_urls
High-Performance Laptop,15.6-inch laptop with the latest processor 16GB RAM and 512GB SSD storage.,1299.99,1,https://example.com/images/laptop1.jpg;https://example.com/images/laptop2.jpg;https://example.com/images/laptop3.jpg
Premium Smartphone,6.5-inch smartphone with 128GB storage 8GB RAM and a high-resolution camera.,899.99,1,https://example.com/images/phone1.jpg;https://example.com/images/phone2.jpg
Designer Jeans,Premium quality jeans with a modern fit and durable fabric.,79.99,2,https://example.com/images/jeans1.jpg;https://example.com/images/jeans2.jpg
Casual T-Shirt,Comfortable cotton t-shirt available in various colors.,24.99,2,https://example.com/images/tshirt1.jpg;https://example.com/images/tshirt2.jpg;https://example.com/images/tshirt3.jpg
Modern Coffee Table,Elegant coffee table with a glass top and wooden legs.,249.99,3,https://example.com/images/table1.jpg;https://example.com/images/table2.jpg
Luxury Bed Set,King-size bed set including mattress frame and headboard.,1499.99,3,https://example.com/images/bedset1.jpg;https://example.com/images/bedset2.jpg;https://example.com/images/bedset3.jpg
4K Smart TV,55-inch 4K Ultra HD Smart TV with built-in streaming apps and voice control.,799.99,4,https://example.com/images/tv1.jpg;https://example.com/images/tv2.jpg
Wireless Headphones,Noise-cancelling wireless headphones with 30-hour battery life.,199.99,4,https://example.com/images/headphones1.jpg;https://example.com/images/headphones2.jpg
Hiking Backpack,Durable 40L hiking backpack with multiple compartments and rain cover.,89.99,5,https://example.com/images/backpack1.jpg;https://example.com/images/backpack2.jpg
Camping Tent,4-person waterproof tent easy to set up and pack away.,149.99,5,https://example.com/images/tent1.jpg;https://example.com/images/tent2.jpg;https://example.com/images/tent3.jpg
Professional Chef Knife,High-carbon stainless steel chef knife with ergonomic handle.,129.99,6,https://example.com/images/knife1.jpg;https://example.com/images/knife2.jpg
Non-Stick Cookware Set,10-piece non-stick cookware set with glass lids.,199.99,6,https://example.com/images/cookware1.jpg;https://example.com/images/cookware2.jpg
Vintage Vinyl Record,Original pressing of classic album in excellent condition.,49.99,7,https://example.com/images/vinyl1.jpg;https://example.com/images/vinyl2.jpg
Antique Pocket Watch,19th century gold-plated pocket watch fully functional.,299.99,7,https://example.com/images/watch1.jpg;https://example.com/images/watch2.jpg;https://example.com/images/watch3.jpg
Sectional Sofa,Modern L-shaped sectional sofa with chaise lounge.,899.99,8,https://example.com/images/sofa1.jpg;https://example.com/images/sofa2.jpg
